id_cupons;pode_usar_outros_codigos;limite_custo;data_fim;cupom_codigo;entrega_free;valido_somente_novos_clientes;valor_minimo;data_inicio;status;tipo;quem_paga_cupom;dias_duracao;novos_clientes_adquiridos;qtde_uso;valor_total_uso;percentagem;valor_fixo;limite_uso_por_cpf;limite_uso
5f9dd4629edca400210011ca;false;20000;2020-11-17 03:00:00;FRIDAY60;true;false;60;2020-11-01 03:00:00;INACTIVE;FIXED_DISCOUNT;PLATFORM;-16;34;40;1007.3700000000002;;;;
5f9dd6d79edca4002100154b;false;;2021-03-24 03:00:00;#TimeQuerido;true;false;;;ACTIVE;PERCENT_DISCOUNT;PLATFORM;;;4;121.44;20;;;
5fa46012903a35002117a6ad;false;6000;2020-12-25 03:00:00;FRIDAY2060;true;false;60;2020-11-05 03:00:00;INACTIVE;FIXED_DISCOUNT;PLATFORM;-50;9;12;240.0;;20.0;2;50
5fa9ad19ce7202002177907f;false;;2020-12-30 03:00:00;LOOVEM;false;false;70;2020-11-09 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-51;;;;15;;1;300
5fad8b562929b600211a7614;false;2000;2021-04-30 03:00:00;#eliana;false;false;;2021-04-19 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-11;56;83;1140.03;15;;2;
5faed55f94d3250021fb0e50;false;12000;2020-11-25 03:00:00;VDB50;false;false;99;2020-11-13 03:00:00;INACTIVE;PERCENT_DISCOUNT;PLATFORM;-12;117;148;12236.470000000003;50;;1;
5fb596c8aaf0990021ab8488;false;12453;2020-12-31 03:00:00;VDB59;true;false;59;2020-11-18 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-43;;;;;;1;
5fb820ea2513e100219f51ad;false;15000;2020-12-01 03:00:00;BOLOWEEK;false;false;99;2020-11-20 03:00:00;INACTIVE;PERCENT_DISCOUNT;PLATFORM;-11;89;129;11266.850000000004;50;;1;
5fbd73835da74a0021e4fcf6;false;1000;2020-12-01 03:00:00;Influenciavdb;false;false;;2020-11-24 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-7;3;4;800.0;;200.0;1;5
5fbd7b955da74a0021e53abb;false;;;#sorte554;false;false;50;2020-11-30 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;;1;35;1050.0;;30.0;1;128
5fbe9f765da74a0021ebc573;false;;2020-12-31 03:00:00;vivodebolo;false;false;;2020-11-25 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-36;;1;14.99;15;;1;20
5fc6663033284c00219cd211;false;500;2021-01-01 03:00:00;#queridos;false;false;69;2020-11-30 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-32;;;;15;;1;10
5fc7a3d0a91cbc0021c0e6db;false;;;VEMPRIMEIRO;false;true;20;2020-12-03 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;;4;5;33.64;10;;1;
5fcead571ad1840021989915;false;300;2021-01-04 03:00:00;#querofesta;false;false;;2020-12-07 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-28;;;;15;;1;100
5fcfd1c0c8d4e30021568df2;false;2000;2021-02-26 03:00:00;#Vem50;false;false;150;2020-12-08 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-80;5;14;550.0;;50.0;1;
5fd0d6bdc8d4e3002158068d;false;1000;2020-12-31 03:00:00;50doceria;false;false;150;2020-12-10 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-21;1;3;50.0;;50.0;1;
5fd0e8cdc8d4e30021582c83;false;300;;CUPOMBF;false;false;99;2020-12-08 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;;;1;53.68000000000001;50;;1;1
5fd77c6d5876570022448725;false;10000;2021-01-31 03:00:00;BOLOFESTAS;false;false;80;2020-12-14 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-48;11;18;360.0;;20.0;1;
5fd79bd7587657002244d034;false;3000;2021-02-28 03:00:00;primeira10;false;false;;2020-12-13 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-77;1;2;11.3;10;;1;
5fd7d2c55876570022457bd5;false;2000;2021-01-31 03:00:00;#consumidor15;false;false;;2020-12-13 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-49;16;24;293.07000000000005;15;;1;
5fdb9a9b2014fe00214d395b;false;;2020-12-31 03:00:00;#VDB15;false;false;;2020-12-16 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-15;2;2;32.7;15;;1;10
5ff615f9d73d5200216e68ca;false;;2021-01-15 03:00:00;vemdebolofazofuturo;false;false;;2021-01-11 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-4;;;;15;;;
5ffddcc0a7af3c00219b3927;false;3000;2021-02-01 03:00:00;AGORASP;false;false;90;2021-01-11 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-21;2;2;22.79;10;;1;
5ffde51ba7af3c00219b3f50;false;3000;2021-02-01 03:00:00;VEMSP;false;false;;2021-01-11 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-21;5;6;60.0;;10.0;1;
60004580fc422f00214a8f2a;false;500;2021-01-16 03:00:00;#FERNANDO;false;false;300;2021-01-13 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-3;;;;50;399.0;1;1
6005efab52ef670021154daf;false;;2021-01-23 03:00:00;#CONV20;false;false;;2021-01-18 20:28:45;ACTIVE;PERCENT_DISCOUNT;VENDOR;-4;;1;39.76;20;;;
60083c20657c0500211e96b9;false;;2021-02-14 03:00:00;FEEDBACKALL;false;false;;2021-01-20 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-25;;;;15;;1;70
60106b82a3ec3900215fccb6;false;;2021-01-27 03:00:00;#valter;false;false;;2021-01-26 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-1;1;1;94.9;;94.9;1;1
602ec9e39d4d490021deeaad;true;8000;2021-03-30 18:27:42;vemde21;true;false;50;2021-02-19 03:00:00;LIMIT_REACHED;PERCENT_DISCOUNT;PLATFORM;-39;81;170;5933.0999999999985;21;;4;
604167c0317f730021f638a0;false;;2021-03-08 03:00:00;#diadamulhermoça;false;false;89;2021-03-05 03:00:00;ACTIVE;FIXED_DISCOUNT;VENDOR;-3;3;8;126.0;;21.0;;
604671151f2c9e00210fd481;false;;2021-12-31 03:00:00;vemdeprimeira;false;false;;2021-03-08 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-298;15;18;228.56000000000003;10;10.0;;
6049047fee7b9c002174d5ed;true;5000;2021-05-08 03:00:00;vemdefrete-ex;true;false;10;2021-03-15 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-54;16;30;881.99;;;;
604f4f1a4f648e00216a206f;false;1000;2021-03-20 03:00:00;cupomfofuxo;true;false;;2021-03-15 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-5;1;2;50.0;;25.0;;
6050cf4aaa7c800021093719;true;;;fornecedorfofinho;true;false;;;ACTIVE;PERCENT_DISCOUNT;PLATFORM;;;;;50;;;
60524bb6a27807002147c065;true;;2021-03-31 03:00:00;pesquisalive;true;false;;2021-03-17 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-14;1;13;829.71;;20.0;;
6052512aa27807002147ce67;false;5000;2021-04-10 03:00:00;pascoaoab;true;false;;2021-03-17 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-24;3;3;80.72;10;;;
6053b3e36653bc00214f63d8;false;;2021-03-19 03:00:00;pascoaenactus;false;false;50;2021-03-18 03:00:00;ACTIVE;PERCENT_DISCOUNT;PLATFORM;-1;;;;15;;;
60592dbcb0c0ba00213f9827;false;;2021-08-31 03:00:00;VEMDENESTLE21;true;false;60;2021-03-22 03:00:00;ACTIVE;FIXED_DISCOUNT;PLATFORM;-162;5;11;278.76;;5.0;;
