tag_produtos_id;destacado;texto_display;tipo
5f518972a4a5fbed86099752;true;Café da manhã;MOMENT
5f5189c0a4a5fbed86099753;true;Café da tarde;MOMENT
5f5189e9a4a5fbed86099754;true;Festas;MOMENT
5f5189f8a4a5fbed86099755;false;Dia dos Namorados;MOMENT
5f518a07a4a5fbed86099756;true;Presentes;MOMENT
5f518a26a4a5fbed86099757;true;Bolos simples;TYPE
5f518a38a4a5fbed86099758;true;Bolos recheados;TYPE
5f518a49a4a5fbed86099759;true;Docinhos;TYPE
5f518a56a4a5fbed8609975a;false;Muffins;TYPE
5f518a63a4a5fbed8609975b;true;Brownies;TYPE
5f518a77a4a5fbed8609975c;true;Tortas doces;TYPE
5f518a85a4a5fbed8609975d;true;Kits;TYPE
5f518a96a4a5fbed8609975f;false;Donuts;TYPE
5f518a9da4a5fbed86099760;true;Bolos piscina;TYPE
5f518aa4a4a5fbed86099761;true;Cupcakes;TYPE
5f518aaba4a5fbed86099762;false;Panetones;TYPE
5f518abba4a5fbed86099763;true;Chocolates;TYPE
5f518ac6a4a5fbed86099764;false;Abacaxi;FLAVOUR
5f518acba4a5fbed86099765;false;Banana;FLAVOUR
5f518adba4a5fbed86099766;false;Brigadeiro;FLAVOUR
5f518adfa4a5fbed86099767;false;Chocolate;FLAVOUR
5f518ae3a4a5fbed86099768;false;Churros;FLAVOUR
5f518ae9a4a5fbed86099769;false;Côco;FLAVOUR
5f518aeda4a5fbed8609976a;false;Fubá;FLAVOUR
5f518b00a4a5fbed8609976b;false;Laranja;FLAVOUR
5f518b06a4a5fbed8609976c;false;Leite em pó;FLAVOUR
5f518b10a4a5fbed8609976d;false;Doce de leite;FLAVOUR
5f518b14a4a5fbed8609976e;false;Limão;FLAVOUR
5f518b19a4a5fbed8609976f;false;Maçã;FLAVOUR
5f518b1ea4a5fbed86099770;false;Milho;FLAVOUR
5f518b22a4a5fbed86099771;false;Morango;FLAVOUR
5f518b34a4a5fbed86099772;true;Sem glúten;RESTRICTION
5f518b39a4a5fbed86099773;true;Sem lactose;RESTRICTION
5f518b4ca4a5fbed86099774;true;Sem adição de açúcar;RESTRICTION
5f518b54a4a5fbed86099775;true;Integrais;RESTRICTION
5f518b58a4a5fbed86099776;true;Veganos;RESTRICTION
5f518b65a4a5fbed86099777;true;Sem amendoim;RESTRICTION
5f518ba9a4a5fbed86099778;false;Cenoura;FLAVOUR
5f518bf1a4a5fbed8609977a;false;Prestígio;FLAVOUR
5f518caaa4a5fbed8609977b;false;Dia dos Clientes;MOMENT
5f518cc0a4a5fbed8609977c;false;Dia das Crianças;MOMENT
5f60f2e865238f2ce580f490;false;Red Velvet;FLAVOUR
5f60f31365238f2ce580f491;false;Formigueiro;FLAVOUR
5f60f32f65238f2ce580f492;false;Bolos Vulcão;TYPE
5f60f33b65238f2ce580f493;false;Cookies;TYPE
5f60f38165238f2ce580f494;false;Baunilha;FLAVOUR
5f60f3c565238f2ce580f495;false;Nozes;FLAVOUR
5f60f3d465238f2ce580f496;false;Chocolate branco;FLAVOUR
5f60f3e365238f2ce580f497;false;Iogurte;FLAVOUR
5f60f43365238f2ce580f498;false;Leite condensado;FLAVOUR
5f60f44165238f2ce580f499;false;Maracujá;FLAVOUR
