id_produto;id_fornecedor;id_disconto;id_tipo;nome;ativo;aprovado;arquivado;entregavel;recuperavel;tempo_preparacao_minutos;avaliacao_media
5f550676cba01d00210ed018;5f550609cba01d00210ed015;;5f518a26a4a5fbed86099757;Bolo de cenoura teste;True;False;False;True;False;1980.0;0.0
5f5ea709a4944c00215bc67f;5f550609cba01d00210ed015;5fb3af31d09539002159d15a;5f518a26a4a5fbed86099757;Bolo de cenoura e chocolate;True;False;False;True;True;0.0;0.0
5f60221d70be91002137eb61;5f601c9d70be91002137eb5c;;5f518a26a4a5fbed86099757;Bolo de leite ninho com morangos;False;False;True;True;True;1569.0;0.0
5f60245670be91002137eb77;5f601c9d70be91002137eb5c;;5f518a26a4a5fbed86099757;Bolo de limão;False;False;True;True;True;1501.0;0.0
5f6025d170be91002137eb83;5f601c9d70be91002137eb5c;;5f518a26a4a5fbed86099757;Bolo de cenoura;False;False;True;True;True;1467.0;0.0
5f6028b570be91002137eb97;5f601c9d70be91002137eb5c;;5f518a9da4a5fbed86099760;Bolo redvelvet com brigadeiro de cream cheese e chantili;True;False;True;True;True;1569.0;0.0
5f60f05c70be91002137ebbf;5f60ef0070be91002137ebba;;5f518a38a4a5fbed86099758;Bolo doce de leite crocante;False;False;True;False;False;116.0;0.0
5f60fd8b70be91002137ebcf;5f60ef0070be91002137ebba;;5f518a77a4a5fbed8609975c;Torta limão de coração;True;False;True;False;False;0.0;0.0
5f62924c39bc920021e3d337;5f6290fc39bc920021e3d32a;;5f518abba4a5fbed86099763;Pão de mel de brigadeiro - 80g a dora adora sem açúcar sem lactose sem glúten low carb;True;True;False;True;True;0.0;0.0
5f6372dbb47ff900210862fd;5f62842739bc920021e3d2da;;5f518a38a4a5fbed86099758;Festivo red velvet;True;True;False;True;True;2340.0;0.0
5f637ee0b47ff9002108632d;5f62842739bc920021e3d2da;;5f518a9da4a5fbed86099760;Baunilha com doce de leite;True;True;False;True;True;2340.0;0.0
5f639c6eb47ff9002108636a;5f639900b47ff90021086363;;5f518a38a4a5fbed86099758;Bolo doce de leite - dois tons;True;False;False;True;False;312.0;0.0
