id_pagamento_fornecedor;id_ordem;id_fornecedor;status
5f6a27377ebe070021027a35;5f6a1ff1f309620021ca2822;5f550609cba01d00210ed015;PENDING
5f6a32185e18160021760eb9;5f6a2f3d5e18160021760db8;5f550609cba01d00210ed015;PENDING
5f6a37fa5e18160021760f75;5f6a378a5e18160021760f6a;5f550609cba01d00210ed015;PENDING
5f777ffb333d3e0021f11d42;5f777fa2333d3e0021f11d20;5f5bc310b8742200213bda1d;PENDING
5f7dc7acf266b40021daee10;5f7dc741f266b40021daedb8;5f584189fc58110021464422;PENDING
5f7dce96f266b40021daef8f;5f7dcdb5f266b40021daef31;5f584189fc58110021464422;PENDING
5f7ddd8cf266b40021daf66f;5f7ddbc5f266b40021daf5cf;5f584189fc58110021464422;PENDING
5f7e01daf266b40021db015d;5f7dff5bf266b40021db0068;5f584189fc58110021464422;PENDING
5f7e1003354bf600213fd684;5f7e0e46354bf600213fd5f0;5f584189fc58110021464422;PENDING
5f7e102f354bf600213fd699;5f7e0f7c354bf600213fd661;5f584189fc58110021464422;PENDING
5f7e1193354bf600213fd7be;5f7e10b3354bf600213fd745;5f584189fc58110021464422;PENDING
5f7e1210354bf600213fd7eb;5f7e10b3354bf600213fd745;5f584189fc58110021464422;PENDING
5f7e187f15c78600216848f0;5f7e17f815c78600216848c1;5f550609cba01d00210ed015;PENDING
5f7e1c9215c7860021684a56;5f7e0354f266b40021db0245;5f584189fc58110021464422;PENDING
5f7e2c1615c786002168556d;5f7e2a6d15c78600216854ca;5f584189fc58110021464422;PENDING
5f7f4225175d26002298261e;5f7f412a175d260022982521;5f584189fc58110021464422;PENDING
5f7f4327175d2600229827b4;5f7f41fd175d2600229825dc;5f584189fc58110021464422;PENDING
5f8ca69b17f3b30021350417;5f8ca1dc17f3b3002134fa16;5f6cd435455f7d0021af7ca5;PENDING
5f8ce0ec48de890021a686a9;5f8ce08248de890021a68680;5f584189fc58110021464422;PENDING
5f8d9f4f48de890021a71594;5f8d9e7e48de890021a7138f;5f63c4f5b47ff900210864c1;PENDING
5f8da11448de890021a71a57;5f8d9f0448de890021a714f0;5f63c4f5b47ff900210864c1;PENDING
5f8daa8f48de890021a72fb4;5f8da8df48de890021a729e5;5f63c4f5b47ff900210864c1;PENDING
5f8ddf2c48de890021a7acb9;5f8ddeb248de890021a7aa54;5f63c4f5b47ff900210864c1;PENDING
5f8de82d48de890021a7c26f;5f8de7d748de890021a7c207;5f63c4f5b47ff900210864c1;PENDING
5f8def9748de890021a7cf05;5f8dec2f48de890021a7c86f;5f6a560c5e1816002176105d;PENDING
5f8e188048de890021a821fb;5f8e171648de890021a81faf;5f63c4f5b47ff900210864c1;PENDING
5f8f332b002de60021d1d8c4;5f8f328d002de60021d1d72f;5f63c4f5b47ff900210864c1;PENDING
5f8f3db0002de60021d1e492;5f8f3cab002de60021d1e30e;5f729f61e751dd0021079fc0;PENDING
5f8f5b06002de60021d21d32;5f8f5ac9002de60021d21bae;5f550609cba01d00210ed015;PENDING
5f8f7150002de60021d250bf;5f8f6fdd002de60021d24f1b;5f737847a2a8da00217ef9f7;PENDING
5f8f783f5418a50021025de4;5f8f74625418a500210251e9;5f63c4f5b47ff900210864c1;PENDING
5f8f8ace5418a5002102814c;5f8f8a875418a50021028065;5f63c4f5b47ff900210864c1;PENDING
